ticker,issuer_name
ADES,Advanced Emissions Solutions Inc (ADES)
ADF,ACM Managed Dollar Income Fund Inc (ADF)
ADI,Analog Devices Inc. (ADI)
ADIL,Adial Pharmaceuticals Inc (ADIL)
ADILW,Adial Pharmaceuticals Inc (ADILW)
ADM,Archer Daniels Midland Co. (ADM)
ADMA,Adma Biologics Inc (ADMA)
ADME,ETF Series Solutions Trust (ADME)
ADMP,Adamis Pharmaceuticals Corp (ADMP)
ADM_P_A_,Archer Daniels Midland Co. (ADMpA_)
ADMS,Adamas Pharmaceuticals Inc (ADMS)
ADNT,Adient plc (ADNT)
ADO,Adecco SA (ADO)
ADOM,ADOMANI Inc. (ADOM)
ADP,Automatic Data Processing Inc. (ADP)
ADPT,Adaptive Biotechnologies Corp (ADPT)
ADPT_1,Adeptus Health Inc (ADPT)
ADPW,(ADPw)
ADRA,Invesco Capital Management LLC (ADRA)
ADRD,Invesco Capital Management LLC (ADRD)
ADRE,Invesco Capital Management LLC (ADRE)
ADRO,Aduro Biotech Inc (ADRO)
ADRU,Invesco Capital Management LLC (ADRU)
ADS,Alliance Data System (ADS)
ADSK,Autodesk Inc. (ADSK)
ADSW,Advanced Disposal Services Inc (ADSW)
ADT,ADT Inc (ADT)
ADT_1,ADT Corporation (ADT)
ADTN,Adtran Inc. (ADTN)
ADTW_,ADT Corporation (ADTw_)
ADTX,Aditx Therapeutics Inc (ADTX)
ADUS,Addus HomeCare Corporation (ADUS)
ADVM,Adverum Biotechnologies Inc (ADVM)
ADX,Adams Diversified Equity Fund (ADX)
ADXN,Addex Therapeutics Ltd (ADXN)
ADXS,"Advaxis, Inc. (ADXS)"
ADXSW,"Advaxis, Inc. (ADXSW)"
ADY,Feihe International Inc (ADY)
ADYX,Adynxx Inc (ADYX)
ADZ,Deutsche Bank AG London (ADZ)
AE,Adams Resources & Energy Inc. (AE)
AEA,Advance Amer Cash Advance Ctrs Inc (AEA)
AEB,Aegon N. V. (AEB)
AEC,Associated Estates Realty Corp. (AEC)
AEC_P_B_CL,Associated Estates Realty Corp. (AECpB.CL)
AED,Aegon N. V. (AED)
AED_CL,Aegon NV (AED.CL)
AEE,Ameren Corp. (AEE)
AEF,Aberdeen Emerging Markets Equity Income Fund Inc (AEF)
AEFC,Aegon Funding Company LLC (AEFC)
AEF_CL,AEGON N.V. (AEF.CL)
AEG,Aegon N. V. (AEG)
AEGN,Aegion Corp (AEGN)
AEH,Aegon N. V. (AEH)
AEH_CL,Aegon NV (AEH.CL)
AEHL,Antelope Enterprise Holdings Ltd (AEHL)
AEHR,Aehr Test Systems (AEHR)
AEIS,Advanced Energy Industries Inc. (AEIS)
AEK,Aegon N. V. (AEK)
AEK_CL,AEGON NV (AEK.CL)
AEL,American Equity Investment Life Holding Co (AEL)
AEL_P_A,American Equity Investment Life Holding Co (AELpA)
AEL_P_B,American Equity Investment Life Holding Co (AELpB)
AEM,Agnico Eagle Mines Ltd (AEM)
AEMD,Aethlon Medical Inc (AEMD)
AEO,American Eagle Outfitters Inc. (AEO)
AEP,American Electric Power Company Inc. (AEP)
AEP_P_A_,AMERICAN ELECTRIC POWER CO. 8.75% JR SU (AEPpA_)
AEP_P_A__10,AMERICAN ELECTRIC POWER COMPANY INC 8. (AEPpA_)
AEP_P_A__12,(AEPpA_)
AEP_P_A__2,AMERICAN ELECTRIC POWER CO. 8.75% JR SU (AEPpA_)
AEP_P_A__3,AMERICAN ELECTRIC POWER COMPANY INC8.75 (AEPpA_)
AEP_P_A__5,AMERICAN ELECTRIC POWER CO.75% JR SUB D (AEPpA_)
AEP_P_A__7,AMERICAN ELECTRIC POWER COMPANY INC 8.7 (AEPpA_)
AEP_P_A__8,AMERICAN ELECTRIC POWER COMPANY INC. (AEPpA_)
AEP_P_A__9,AMERICAN ELECTRIC POWER CO INC (AEPpA_)
AEP_P_B_1,American Electric Power Company Inc. (AEPpB)
AEP_P_C,American Electric Power Company Inc. (AEPpC)
AEPPL,American Electric Power Company Inc. (AEPPL)
AEP_P_RA_,American Electric Power Co 8.75% Jr Sub Deb 2063 (AEPpRA_)
AEP_P_RA__1,American Electric Power Company Inc 8.75% Junior Sub Deb Due (AEPpRA_)
AEP_P_RA__2,American Electric Power Co 8.75% Jr Sub (AEPpRA_)
AEP_P_RA__3,American Electric Power Company Inc 8.7 (AEPpRA_)
AEP_P_RA__4,AMERICAN ELECTRIC POWER CO 8.75% JR SUB (AEPpRA_)
AEP_P_RA__5,AMERICAN ELECTRIC POWER CO. 8.75% JR SU (AEPpRA_)
AEP_P_RA__6,AMERICAN ELECTRIC POWER COMPANY INC8.75 (AEPpRA_)
AEP_P_RA__7,AMERICAN ELECTRIC POWER COMPANY (AEPpRA_)
AEPPZ,American Electric Power Company Inc. (AEPPZ)
AER,Aercap Holdings N.V. (AER)
AER_1,Aegis Realty Inc. (AER)
AERI,Aerie Pharmaceuticals Inc (AERI)
AES,AES Corp. (AES)
AESE,Allied Esports Entertainment Inc (AESE)
AESEW,Allied Esports Entertainment Inc (AESEW)
AES_P_C_,AES Trust III (AESpC_)
AES_P_C_CL,AES Trust III (AESpC.CL)
AES_P_RC_,AES Trust III (AESpRC_)
AESR,Two Roads Shared Trust (AESR)
AET,Aetna Inc. (AET)
AEUA,Anadarko Petroleum Corp. (AEUA)
AEV,Aegon N. V. (AEV)
AEV_CL,AEGON N.V. (AEV.CL)
AEV_CL_1,Aegon NV (AEV.CL)
AEY,Addvantage Technologies Group (AEY)
AEYE,AudioEye Inc (AEYE)
AEZS,Aeterna Zentaris Inc. (AEZS)
AF,Astoria Financial Corp. (AF)
AFA,American Financial Group Inc (AFA)
AFA_CL,American Financial Group Inc (AFA.CL)
AFB,AllianceBernstein National Municipal Income Fund Inc (AFB)
AFC,Allied Capital Corp. (AFC)
AFC_1,Allied Capital Corp. (AFC)
AFE,American Financial Group Inc (AFE)
AFE_CL,American Financial Group Inc 7.125% Sr Deb 2034 (AFE.CL)
AFE_CL_1,American Financial Group (AFE.CL)
AFF,American International Group Inc (AFF)
AFF_CL,American International Group Inc 6.45% Series A-4 Junior Sub. Debt (AFF.CL)
AFG,American Financial Group Inc (AFG)
AFGB,American Financial Group Inc (AFGB)
AFGC,American Financial Group Inc (AFGC)
AFGD,American Financial Group Inc (AFGD)
AFGE,American Financial Group Inc (AFGE)
AFGE_1,American Financial Group Inc (AFGE)
AFGE_CL,American Financial Group Inc (AFGE.CL)
AFGH,American Financial Group Inc (AFGH)
AFGH_1,American Financial Group Inc (AFGH)
AFH,Atlas Financial Holdings Inc (AFH)
AFHBL,Atlas Financial Holdings Inc (AFHBL)
AFI,Armstrong Flooring Inc (AFI)
AFIB,Acutus Medical Inc (AFIB)
AFIF,Two Roads Shared Trust (AFIF)
AFIN,American Fin Tr Inc (AFIN)
AFINP,American Fin Tr Inc (AFINP)
AFIW,Armstrong Flooring Inc (AFIw)
AFK,VanEck Vectors ETF Trust (AFK)
AFL,Aflac Inc. (AFL)
AFM,Affiliated Managers Group Inc. (AFM)
AFM_CL,Affiliated Managers Group Inc (AFM.CL)
AFMD,Affimed N.V. (AFMD)
AFN,Institutional Financial Markets Inc (AFN)
AF_P_C,Astoria Financial Corp. (AFpC)
AFQ,American Financial Group Inc (AFQ)
AFQ_CL,American Financial Group Inc (AFQ.CL)
AFR,American Financial Realty Trust (AFR)
AFSD,Aflac Inc. (AFSD)
AFSI,AmTrust Financial Services Inc (AFSI)
AFSI_P_A,AmTrust Financial Services Inc (AFSIpA)
AFSI_P_B,AmTrust Financial Services Inc (AFSIpB)
AFSI_P_C,AmTrust Financial Services Inc (AFSIpC)
AFSI_P_D,AmTrust Financial Services Inc (AFSIpD)
AFSI_P_E,AmTrust Financial Services Inc (AFSIpE)
AFSI_P_F,AmTrust Financial Services Inc (AFSIpF)
AFSI_P_RA,Amtrust Financial Service (AFSIpRA)
AFSI_P_RC,Amtrust Financial Service (AFSIpRC)
AFSI_P_RE,Amtrust Financial Service (AFSIpRE)
AFSI_P_RF,Amtrust Financial Service (AFSIpRF)
AFSS,AmTrust Financial Services Inc (AFSS)
AFST,AmTrust Financial Services Inc (AFST)
AFT,Apollo Senior Floating Rate Fund Inc (AFT)
AFT_1,"Axesstel, Inc. (AFT)"
AFTY,CSOP Asset Management Limited (AFTY)
AFW,American Financial Group Inc (AFW)
AFW_CL,American Financial Group Inc (AFW.CL)
AFYA,Afya Ltd (AFYA)
AG,First Majestic Silver Corporation (AG)
AGBA,Agba Acquisition Ltd (AGBA)
AGBAR,Agba Acquisition Ltd (AGBAR)
AGBAU,Agba Acquisition Ltd (AGBAU)
AGBAW,Agba Acquisition Ltd (AGBAW)
AGC,Advent Claymore Convertible Securities & Income Fund II (AGC)
AGC_1,American General Corp. (AGC)
AGCO,AGCO Corp. (AGCO)
AGCUU,Altimeter Growth Corp (AGCUU)
AGD,Aberdeen Global Dynamic Dividend Fund (AGD)
AGD_1,Applied Graphics Technologies Inc. (AGD)
AGE,AgeX Therapeutics Inc (AGE)
AGEN,Agenus Inc (AGEN)
AGF_1,Deutsche Bank AG London (AGF)
AGFS,AgroFresh Solutions Inc (AGFS)
AGFSW,AgroFresh Solutions Inc (AGFSW)
AGG,BlackRock Institutional Trust Company N.A. (AGG)
AGGE,IndexIQ ETF Trust (AGGE)
AGGP,IndexIQ ETF Trust (AGGP)
AGGY,WisdomTree Trust (AGGY)
AGI,Alamos Gold Inc. (AGI)
AGI_2,Alamos Gold Inc. (AGI)
AGII,Argo Group International Holdings Ltd (AGII)
AGIIL,Argo Group US Inc (AGIIL)
AGIO,Agios Pharmaceuticals Inc (AGIO)
AGL,Angelica Corp. (AGL)
AGLE,Aeglea BioTherapeutics Inc (AGLE)
AGM,Federal Agricultural Mortgage Corp. (AGM)
AGMA,Federal Agricultural Mortgage Corp. (AGMA)
AGM_A,Federal Agricultural Mortgage Corp. (AGM.A)
AGMH,AGM Group Holdings Inc (AGMH)
AGM_P_A,Federal Agricultural Mortgage Corp. (AGMpA)
AGM_P_B,Federal Agricultural Mortgage Corp. (AGMpB)
AGM_P_B_CL,Federal Agricultural Mortgage Corp. (AGMpB.CL)
AGM_P_C,Federal Agricultural Mortgage Corp. (AGMpC)
AGM_P_D,Federal Agricultural Mortgage Corp. (AGMpD)
AGM_P_E,Federal Agricultural Mortgage Corp. (AGMpE)
AGM_P_F,Federal Agricultural Mortgage Corp. (AGMpF)
AGM_P_RB,Federal Agricultural Mortgage Corp. (AGMpRB)
AGM_P_RC,Federal Agricultural Mortgage Corp. (AGMpRC)
AGN,Allergan plc (AGN)
AGN_1,Allergan Inc. (AGN)
AGNC,AGNC Investment Corp (AGNC)
AGNCB,AGNC Investment Corp (AGNCB)
AGNCM,AGNC Investment Corp (AGNCM)
AGNCN,AGNC Investment Corp (AGNCN)
AGNCO,AGNC Investment Corp (AGNCO)
AGNCP,AGNC Investment Corp (AGNCP)
AGND,WisdomTree Trust (AGND)
AGN_P_A,Allergan plc (AGNpA)
AGN_P_RA,Allergan plc (AGNpRA)
AGNW,(AGNw)
AGO,Assured Guaranty Ltd (AGO)
AGO_P_B,Assured Guaranty Municipal Holdings Inc (AGOpB)
AGO_P_B_1,Assured Guaranty Municipal Holdings Inc (AGOpB)
AGO_P_E,Assured Guaranty Municipal Holdings Inc (AGOpE)
AGO_P_F,Assured Guaranty Municipal Holdings Inc (AGOpF)
AGO_P_RB,Assured Guaranty Municipal Holdings Inc (AGOpRB)
AGP,Amerigroup Corp (AGP)
AGQ,ProShares Trust (AGQ)
AGR,Avangrid Inc (AGR)
AGR_1,AB Svensk Exportkredit (AGR)
AGRO,Adecoagro S.A. (AGRO)
AGRO_1,America`s Growth Fund Inc (AGRO)
AGRX,Agile Therapeutics Inc (AGRX)
AGS,PlayAGS Inc (AGS)
AGT,iShares Trust (AGT)
AGTC,Applied Genetic Technologies Corp (AGTC)
AGU,Agrium Inc. (AGU)
AGX,"Argan, Inc. (AGX)"
AGYS,"Agilysys, Inc (AGYS)"
AGZ,BlackRock Institutional Trust Company N.A. (AGZ)
AGZD,WisdomTree Trust (AGZD)
AH,Accretive Health Inc. (AH)
AH_1,Armor Holdings Inc. (AH)
AHACU,Alpha Healthcare Acquisition Corp (AHACU)
AHC,A.H. Belo Corp (AHC)
AHC_1,Hess Corporation (AHC)
AHCO,AdaptHealth Corp (AHCO)
AHCOW,AdaptHealth Corp (AHCOW)
AHCW,(AHCw)
AHG,Apria Healthcare Group Inc. (AHG)
AHGP,Alliance Holdings GP L.P. (AHGP)
AHH,Armada Hoffler Properties Inc (AHH)
AHH_P_A,Armada Hoffler Properties Inc (AHHpA)
AHH_P_A_,(AHHpA_)
AHH_P_A_1,Accredited Mortgage Loan Reit Trust (AHHpA)
AHL,Aspen Insurance Hldgs (AHL)
AHL_1,Aspen Insurance Holdings Limited (AHL)
AHL_P_A_CL,Aspen Insurance Hldgs (AHLpA.CL)
AHL_P_B_CL,Aspen Insurance Hldgs (AHLpB.CL)
AHL_P_C,Aspen Insurance Hldgs (AHLpC)
AHL_P_D,Aspen Insurance Hldgs (AHLpD)
AHL_P_E,Aspen Insurance Hldgs (AHLpE)
AHL_P_RC,Aspen Insurance Hldgs (AHLpRC)
AHL_P_R_CL,Aspen Insurance Hldgs (AHLpR.CL)
AHL_P_RD,Aspen Insurance Hldgs (AHLpRD)
AHM,American Home Mortgage Investment Corp (AHM)
AHM_P_A,American Home Mortgage Investment Corp (AHMpA)
AHM_P_A_,(AHMpA_)
AHM_P_B,American Home Mortgage Investment Corp (AHMpB)
AHM_P_B_,(AHMpB_)
AHO,Koninklijke Ahold NV (AHO)
AHOW,Koninklijke Ahold NV (AHOw)
AHOW_1,(AHOw)
AHP,Wyeth (WYE)
AHP_1,Wyeth (AHP)
AHPA,Organogenesis Holdings Inc (AHPA)
AHPA_1,Organogenesis Holdings Inc (AHPA)
AHPAU,Organogenesis Holdings Inc (AHPAU)
AHPAW,Organogenesis Holdings Inc (AHPAW)
AHPAW_1,Organogenesis Holdings Inc (AHPAW)
AHPI,Allied Healthcare Product Inc. (AHPI)
AHP_P_B,Ashford Hospitality Prime Inc (AHPpB)
AHP_P_RB,Ashford Hospitality Prime Inc (AHPpRB)
AHPW_,Ashford Hospitality Prime (AHPw_)
AHPW__1,Ashford Hospitality Prime Inc (AHPw_)
AHR,Anthracite Capital Inc. (AHR)
AHR_P_C_,Anthracite Capital Inc. (AHRpC_)
AHR_P_D_,Anthracite Capital Inc. (AHRpD_)
AHT,Ashford Hospitality Trust Inc (AHT)
AHT_P_A_CL,Ashford Hospitality Trust Inc (AHTpA.CL)
AHT_P_D,Ashford Hospitality Trust Inc (AHTpD)
AHT_P_E_CL,Ashford Hospitality Trust Inc (AHTpE.CL)
AHT_P_F,Ashford Hospitality Trust Inc (AHTpF)
AHT_P_G,Ashford Hospitality Trust Inc (AHTpG)
AHT_P_H,Ashford Hospitality Trust Inc (AHTpH)
AHT_P_I,Ashford Hospitality Trust Inc (AHTpI)
AHT_PR_A,Ashford Hospitality Trust Inc (AHT.pR.A)
AHT_P_RD,Ashford Hospitality Trust Inc (AHTpRD)
AHT_P_RF,Ashford Hospitality Trust Inc (AHTpRF)
AHT_P_RG,Ashford Hospitality Trust Inc (AHTpRG)
AHT_P_RH,Ashford Hospitality Trust Inc (AHTpRH)
AHT_P_RI,Ashford Hospitality Trust Inc (AHTpRI)
AHTW_,Ashford Hospitality Trust Inc (AHTw_)
AI,Arlington Asset Investment Corp (AI)
AI_1,Digerati Technologies Inc (AI)
AIA,BlackRock Institutional Trust Company N.A. (AIA)
AIB,Apollo Investment Corporation (AIB)
AIB_1,Allied Irish Banks Plc (AIB)
AIB_CL,Apollo Investment Corporation (AIB.CL)
AIC,Arlington Asset Investment Corp (AIC)
AIC_1,Arlington Asset Investment Corp (AIC)
AIC_2,Aames Investment Corp (AIC)
AIEQ,ETF Managers Group LLC (AIEQ)
AIF,Apollo Tactical Income Fund Inc (AIF)
AIG,American International Group Inc (AIG)
AIG_P_A,American International Group Inc (AIGpA)
AIG_P_RA_,American International Group Inc (AIGpRA_)
AIG_WS,American International Group Inc (AIG.WS)
AIH,Aesthetic Medical International Holdings Group Ltd (AIH)
AIHS,Senmiao Technology Ltd (AIHS)
AIIQ,ETF Series Solutions Trust (AIIQ)
AIKI,AIkido Pharma Inc (AIKI)
AIM,AIM ImmunoTech Inc (AIM)
AIMC,Altra Industrial Motion Corp (AIMC)
AIMC_1,Altra Industrial Motion Corporation (AIMC)
AIMCV,Altra Industrial Motion Corporation (AIMCV)
AIMT,Aimmune Therapeutics Inc (AIMT)
AIN,Albany International Corp. (AIN)
AINC,Ashford Inc (AINC)
AINV,Apollo Investment Corporation (AINV)
AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund (AIO)
AI_P_B,Arlington Asset Investment Corp (AIpB)
AI_P_C,Arlington Asset Investment Corp (AIpC)
AI_P_RB,Arlington Asset Investment Corp (AIpRB)
AIQ,Global X Funds (AIQ)
AIQ_1,Alliance Healthcare Services Inc (AIQ)
AIR,AAR Corp. (AIR)
AIRG,Airgain Inc (AIRG)
AIRI,Air Industries Group (AIRI)
AIRR,First Trust Exchange-Traded Fund III (AIRR)
AIRT,Air T Inc (AIRT)
AIRTP,Air T Inc (AIRTP)
AIRTW,Air T Inc (AIRTW)
AIT,Applied Industrial Technologies Inc. (AIT)
AIV,Apartment Investment & Management Co. (AIV)
AIV_P_A,Apartment Investment and Management Company (AIVpA)
AIV_P_A_1,Apartment Investment & Management Co. (AIVpA)
AIV_P_G_CL,Apartment Investment & Management Co. (AIVpG.CL)
AIV_P_RA,Apartment Investment & Management Co. (AIVpRA)
AIV_P_RT_CL,Apartment Investment & Management Co. (AIVpRT.CL)
AIV_P_RU_CL,Apartment Investment & Management Co. (AIVpRU.CL)
AIV_P_RV_CL,Apartment Investment & Management Co. (AIVpRV.CL)
AIV_P_RY_CL,Apartment Investment & Management Co. (AIVpRY.CL)
AIV_P_Z_CL,Apartment Investment & Management Co. (AIVpZ.CL)
AIW,Arlington Asset Investment Corp (AIW)
AIY,Apollo Investment Corporation (AIY)
AIZ,Assurant Inc (AIZ)
AIZP,Assurant Inc (AIZP)
AJG,Arthur J. Gallagher & Co. (AJG)
AJRD,Aerojet Rocketdyne Holdings Inc (AJRD)
AJX,Great Ajax Corp (AJX)
AJX_1,Standard Automotive Corp. (AJX)
AJXA,Great Ajax Corp (AJXA)
AKAM,Akamai Technologies Inc (AKAM)
AKAO,Achaogen Inc (AKAO)
AKBA,Akebia Therapeutics Inc. (AKBA)
AKCA,Akcea Therapeutics Inc (AKCA)
AKER,Akers Biosciences Inc (AKER)
AKF,AMBAC Financial Group Inc. (AKF)
AKH,Air France-KLM (AKH)
AKH_WS,Air France-KLM (AKH.WS)
