ticker,issuer_name
ADZ,Deutsche Bank AG London (ADZ)
AE,Adams Resources & Energy Inc. (AE)
AEA,Advance Amer Cash Advance Ctrs Inc (AEA)
AEB,Aegon N. V. (AEB)
AEC,Associated Estates Realty Corp. (AEC)
AED,Aegon NV (AED)
AED_1,Aegon N. V. (AED)
AED_CL,Aegon NV (AED.CL)
AEE,Ameren Corp. (AEE)
AEF,Aberdeen Emerging Markets Equity Income Fund Inc (AEF)
AEF_1,Aegon N. V. (AEF)
AEFC,Aegon Funding Company LLC (AEFC)
AEG,Aegon N. V. (AEG)
AEGN,Aegion Corp (AEGN)
AEGN_1,Aerogen Inc (AEGN)
AEH,Aegon N. V. (AEH)
AEH_CL,Aegon NV (AEH.CL)
AEHL,Antelope Enterprise Holdings Ltd (AEHL)
AEHR,Aehr Test Systems (AEHR)
AEIS,Advanced Energy Industries Inc. (AEIS)
AEK,Aegon N. V. (AEK)
AEK_CL,AEGON NV (AEK.CL)
AEL,American Equity Investment Life Holding Co (AEL)
AEL_P_A,American Equity Investment Life Holding Co (AELpA)
AEL_P_B,American Equity Investment Life Holding Co (AELpB)
AEM,Agnico Eagle Mines Ltd (AEM)
AEMD,Aethlon Medical Inc (AEMD)
AEN,Austral Pacific Energy Ltd (AEN)
AEO,American Eagle Outfitters Inc. (AEO)
AEP,American Electric Power Company Inc. (AEP)
AEPPL,American Electric Power Company Inc. (AEPPL)
AEPPZ,American Electric Power Company Inc. (AEPPZ)
AER,Aercap Holdings N.V. (AER)
AER_1,Aegis Realty Inc. (AER)
AERG,Applied Energetics Inc (AERG)
AERI,Aerie Pharmaceuticals Inc (AERI)
AERI_1,Allerion Inc (AERI)
AES,AES Corp. (AES)
AESE,Allied Esports Entertainment Inc (AESE)
AESR,Two Roads Shared Trust (AESR)
AET,Aetna Inc. (AET)
AEUA,Anadarko Petroleum Corp. (AEUA)
AEV,Aegon N. V. (AEV)
AEY,Addvantage Technologies Group (AEY)
AEYE,AudioEye Inc (AEYE)
AEZ,American Oil & Gas Inc (AEZ)
AEZS,Aeterna Zentaris Inc. (AEZS)
AF,Astoria Financial Corp. (AF)
AFA_CL,American Financial Group Inc (AFA.CL)
AFAM,Almost Family Inc (AFAM)
AFB,AllianceBernstein National Municipal Income Fund Inc (AFB)
AFC,Allied Capital Corp. (AFC)
AFCO_1,American Farmland Co (AFCO)
AFFX,Affymetrix Inc. (AFFX)
AFFY,Affymax Inc (AFFY)
AFG,American Financial Group Inc (AFG)
AFGB,American Financial Group Inc (AFGB)
AFGC,American Financial Group Inc (AFGC)
AFGD,American Financial Group Inc (AFGD)
AFGE,American Financial Group Inc (AFGE)
AFGE_1,American Financial Group Inc (AFGE)
AFGE_2,American Financial Group Inc (AFGE)
AFGH,American Financial Group Inc (AFGH)
AFH,Atlas Financial Holdings Inc (AFH)
AFHBL,Atlas Financial Holdings Inc (AFHBL)
AFI,Armstrong Flooring Inc (AFI)
AFIB,Acutus Medical Inc (AFIB)
AFIF,Two Roads Shared Trust (AFIF)
AFIN,American Fin Tr Inc (AFIN)
AFINP,American Fin Tr Inc (AFINP)
AFK,VanEck Vectors ETF Trust (AFK)
AFL,Aflac Inc. (AFL)
AFMD,Affimed N.V. (AFMD)
AFO,Safety First Trust Series 2007-2 (AFO)
AFOP,Alliance Fiber Optic Products Inc. (AFOP)
AFP,United Capital Corp. (AFP)
AF_P_C,Astoria Financial Corp. (AFpC)
AFSD,Aflac Inc. (AFSD)
AFSI,AmTrust Financial Services Inc (AFSI)
AFSI_1,Asia 4 Sale.com Inc (AFSI)
AFSI_P_A,AmTrust Financial Services Inc (AFSIpA)
AFSI_P_B,AmTrust Financial Services Inc (AFSIpB)
AFSI_P_C,AmTrust Financial Services Inc (AFSIpC)
AFSI_P_D,AmTrust Financial Services Inc (AFSIpD)
AFSI_P_E,AmTrust Financial Services Inc (AFSIpE)
AFSI_P_F,AmTrust Financial Services Inc (AFSIpF)
AFSI_P_RA,Amtrust Financial Service (AFSIpRA)
AFSI_P_RB,Amtrust Financial Service (AFSIpRB)
AFSI_P_RC,Amtrust Financial Service (AFSIpRC)
AFSI_P_RD,Amtrust Financial Service (AFSIpRD)
AFSI_P_RE,Amtrust Financial Service (AFSIpRE)
AFSI_P_RF,Amtrust Financial Service (AFSIpRF)
AFSS,AmTrust Financial Services Inc (AFSS)
AFST,AmTrust Financial Services Inc (AFST)
AFT,Apollo Senior Floating Rate Fund Inc (AFT)
AFT_1,"Axesstel, Inc. (AFT)"
AFTY,CSOP Asset Management Limited (AFTY)
AFYA,Afya Ltd (AFYA)
AG,First Majestic Silver Corporation (AG)
AGA,Deutsche Bank AG London (AGA)
AGB,Safety First Trust Series 2006-1 (AGB)
AGBA,Agba Acquisition Ltd (AGBA)
AGBAU,Agba Acquisition Ltd (AGBAU)
AGC,Advent Claymore Convertible Securities & Income Fund II (AGC)
AGC_1,American General Corp. (AGC)
AGCO,AGCO Corp. (AGCO)
AGCUU,Altimeter Growth Corp (AGCUU)
AGD,Aberdeen Global Dynamic Dividend Fund (AGD)
AGD_1,Applied Graphics Technologies Inc. (AGD)
AGE,AgeX Therapeutics Inc (AGE)
AGEN,Agenus Inc (AGEN)
AGF_1,Deutsche Bank AG London (AGF)
AGF_2,Deutsche Bank AG London (AGF)
AGFS,AgroFresh Solutions Inc (AGFS)
AGFSW,AgroFresh Solutions Inc (AGFSW)
AGG,BlackRock Institutional Trust Company N.A. (AGG)
AGGE,IndexIQ ETF Trust (AGGE)
AGGP,IndexIQ ETF Trust (AGGP)
AGGY,WisdomTree Trust (AGGY)
AGI,Alamos Gold Inc. (AGI)
AGIO,Agios Pharmaceuticals Inc (AGIO)
AGL,AGL Resources Inc. (AGL)
AGLE,Aeglea BioTherapeutics Inc (AGLE)
AGM,Federal Agricultural Mortgage Corp. (AGM)
AGMA,Federal Agricultural Mortgage Corp. (AGMA)
AGM_A,Federal Agricultural Mortgage Corp. (AGM.A)
AGMH,AGM Group Holdings Inc (AGMH)
AGM_P_A,Federal Agricultural Mortgage Corp. (AGMpA)
AGM_P_B,Federal Agricultural Mortgage Corporation (AGMpB)
AGM_P_B_1,Federal Agricultural Mortgage Corp. (AGMpB)
AGM_P_C,Federal Agricultural Mortgage Corp. (AGMpC)
AGM_P_D,Federal Agricultural Mortgage Corp. (AGMpD)
AGM_P_F,Federal Agricultural Mortgage Corp. (AGMpF)
AGM_P_RA,Federal Agricultural Mortgage Corp. (AGMpRA)
AGM_P_RB,Federal Agricultural Mortgage Corp. (AGMpRB)
AGM_P_RC,Federal Agricultural Mortgage Corp. (AGMpRC)
AGN,Allergan plc (AGN)
AGN_1,Allergan Inc. (AGN)
AGNC,AGNC Investment Corp (AGNC)
AGNCB,AGNC Investment Corp (AGNCB)
AGNCM,AGNC Investment Corp (AGNCM)
AGNCN,AGNC Investment Corp (AGNCN)
AGNCO,AGNC Investment Corp (AGNCO)
AGNCP,AGNC Investment Corp (AGNCP)
AGND,WisdomTree Trust (AGND)
AGN_P_RA,Allergan plc (AGNpRA)
AGO,Assured Guaranty Ltd (AGO)
AGO_P_B,Assured Guaranty Municipal Holdings Inc (AGOpB)
AGO_P_B_1,Assured Guaranty Municipal Holdings Inc (AGOpB)
AGO_P_E,Assured Guaranty Municipal Holdings Inc (AGOpE)
AGO_P_F,Assured Guaranty Municipal Holdings Inc (AGOpF)
AGO_P_RB,Assured Guaranty Municipal Holdings Inc (AGOpRB)
AGO_P_RE,Assured Guaranty Municipal Holdings Inc (AGOpRE)
AGO_P_RF,Assured Guaranty Municipal Holdings Inc (AGOpRF)
AGQ,ProShares Trust (AGQ)
AGR,Avangrid Inc (AGR)
AGR_1,AB Svensk Exportkredit (AGR)
AGRO,Adecoagro S.A. (AGRO)
AGRO_1,America`s Growth Fund Inc (AGRO)
AGRX,Agile Therapeutics Inc (AGRX)
AGS,PlayAGS Inc (AGS)
AGT,iShares Trust (AGT)
AGT_1,Apollo Gold Corp (AGT)
AGTC,Applied Genetic Technologies Corp (AGTC)
AGTC_1,American Gilsonite Co (AGTC)
AGU,Agrium Inc. (AGU)
AGW,"Merrill Lynch & Co., Inc (AGW)"
AGX,"Argan, Inc. (AGX)"
AGYS,"Agilysys, Inc (AGYS)"
AGZ,BlackRock Institutional Trust Company N.A. (AGZ)
AGZD,WisdomTree Trust (AGZD)
AHACU,Alpha Healthcare Acquisition Corp (AHACU)
AHB,Safety First Trust Series 2008-3 (AHB)
AHC,A.H. Belo Corp (AHC)
AHC_1,Hess Corporation (AHC)
AHCI,"Allied Healthcare International, Inc. (AHCI)"
AHCO,AdaptHealth Corp (AHCO)
AHCOW,AdaptHealth Corp (AHCOW)
AHGP,Alliance Holdings GP L.P. (AHGP)
AHH,Armada Hoffler Properties Inc (AHH)
AHH_P_A,Armada Hoffler Properties Inc (AHHpA)
AHL,Aspen Insurance Hldgs (AHL)
AHL_P_A_,Aspen Insurance Hldgs (AHLpA_)
AHL_P_C,Aspen Insurance Hldgs (AHLpC)
AHL_P_D,Aspen Insurance Hldgs (AHLpD)
AHL_P_E,Aspen Insurance Hldgs (AHLpE)
AHL_P_RC,Aspen Insurance Hldgs (AHLpRC)
AHL_P_RD,Aspen Insurance Hldgs (AHLpRD)
AHN,"ATC Healthcare, Inc. (AHN)"
AHP,Ashford Hospitality Prime Inc (AHP)
AHP_1,Wyeth (AHP)
AHPA,Organogenesis Holdings Inc (AHPA)
AHPA_1,Organogenesis Holdings Inc (AHPA)
AHPAU,Organogenesis Holdings Inc (AHPAU)
AHPI,Allied Healthcare Product Inc. (AHPI)
AHP_P_RB,Ashford Hospitality Prime Inc (AHPpRB)
AHT,Ashford Hospitality Trust Inc (AHT)
AHT_P_A_CL,Ashford Hospitality Trust Inc (AHTpA.CL)
AHT_P_D,Ashford Hospitality Trust Inc (AHTpD)
AHT_P_F,Ashford Hospitality Trust Inc (AHTpF)
AHT_P_G,Ashford Hospitality Trust Inc (AHTpG)
AHT_P_H,Ashford Hospitality Trust Inc (AHTpH)
AHT_P_I,Ashford Hospitality Trust Inc (AHTpI)
AHT_P_RD,Ashford Hospitality Trust Inc (AHTpRD)
AHT_P_RF,Ashford Hospitality Trust Inc (AHTpRF)
AHT_P_RG,Ashford Hospitality Trust Inc (AHTpRG)
AHT_P_RI,Ashford Hospitality Trust Inc (AHTpRI)
AHY,Safety First Trust Series 2008-4 (AHY)
AI,Arlington Asset Investment Corp (AI)
AI_1,Digerati Technologies Inc (AI)
AIA,BlackRock Institutional Trust Company N.A. (AIA)
AIB,Apollo Investment Corporation (AIB)
AIB_CL,Apollo Investment Corporation (AIB.CL)
AIC,Arlington Asset Investment Corp (AIC)
AID,Law Enforcement Associates Corporation (AID)
AIEQ,ETF Managers Group LLC (AIEQ)
AIF,Apollo Tactical Income Fund Inc (AIF)
AIG,American International Group Inc (AIG)
AIG_P_A,American International Group Inc (AIGpA)
AIGWS,American International Group Inc (AIGWS)
AIG_WS,American International Group Inc (AIG.WS)
AIH,Aesthetic Medical International Holdings Group Ltd (AIH)
AIH_1,Ablest Inc (AIH)
AIHS,Senmiao Technology Ltd (AIHS)
AIII,ACRE Realty Investors Inc (AIII)
AIIQ,ETF Series Solutions Trust (AIIQ)
AII_U,(AII.U)
AII_WS,Boise Inc (AII.WS)
AIKI,AIkido Pharma Inc (AIKI)
AIM,AIM ImmunoTech Inc (AIM)
AIMC,Altra Industrial Motion Corp (AIMC)
AIMC_1,Altra Industrial Motion Corporation (AIMC)
AIMCV,Altra Industrial Motion Corporation (AIMCV)
AIMT,Aimmune Therapeutics Inc (AIMT)
AIMT_1,Aimsi Technologies Inc. (AIMT)
AIN,Albany International Corp. (AIN)
AINC,Ashford Inc (AINC)
AINCW_R,Ashford Inc (AINCw_r)
AINV,Apollo Investment Corporation (AINV)
AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund (AIO)
AIP,Hadera Paper Ltd (AIP)
AI_P_B,Arlington Asset Investment Corp (AIpB)
AI_P_C,Arlington Asset Investment Corp (AIpC)
AI_P_RB,Arlington Asset Investment Corp (AIpRB)
AIPT,Precision Therapeutics Inc (AIPT)
AIQ,Global X Funds (AIQ)
AIQ_1,Alliance Healthcare Services Inc (AIQ)
AIR,AAR Corp. (AIR)
AIRG,Airgain Inc (AIRG)
AIRG_1,Airtech International Group Inc. (AIRG)
AIRI,Air Industries Group (AIRI)
AIRR,First Trust Exchange-Traded Fund III (AIRR)
AIRT,Air T Inc (AIRT)
AIRTP,Air T Inc (AIRTP)
AIT,Applied Industrial Technologies Inc. (AIT)
AITB,Beyond Air Inc (AITB)
AITB_1,Beyond Air Inc (AITB)
AIV,Apartment Investment & Management Co. (AIV)
AIV_P_A,Apartment Investment and Management Company (AIVpA)
AIV_P_A_1,Apartment Investment & Management Co. (AIVpA)
AIV_P_RA,Apartment Investment & Management Co. (AIVpRA)
AIV_P_T_,Apartment Investment & Management Co. (AIVpT_)
AIW,Arlington Asset Investment Corp (AIW)
AIXG,Aixtron SE (AIXG)
AIY,Apollo Investment Corporation (AIY)
AIZ,Assurant Inc (AIZ)
AIZP,Assurant Inc (AIZP)
AJG,Arthur J. Gallagher & Co. (AJG)
AJRD,Aerojet Rocketdyne Holdings Inc (AJRD)
AJX,Great Ajax Corp (AJX)
AJX_1,Standard Automotive Corp. (AJX)
AJXA,Great Ajax Corp (AJXA)
AKAM,Akamai Technologies Inc (AKAM)
AKAO,Achaogen Inc (AKAO)
AKBA,Akebia Therapeutics Inc. (AKBA)
AKCA,Akcea Therapeutics Inc (AKCA)
AKE,Safety First Trust Series 2007-3 (AKE)
AKER,Akers Biosciences Inc (AKER)
AKN,Safety First Trust Series 2007-4 (AKN)
AKOA,Embotelladora Andina S.A. (AKOA)
AKO_A,Embotelladora Andina S.A. (AKO.A)
AKOB,Embotelladora Andina S.A. (AKOB)
AKO_B,Embotelladora Andina S.A. (AKO.B)
AKP,Alliance California Municipal Income Fund Inc (AKP)
AKR,Acadia Realty Trust (AKR)
AKRO,Akero Therapeutics Inc (AKRO)
AKRX,Akorn Inc. (AKRX)
AKS,AK Steel Holding Corp (AKS)
AKS_1,AK Steel Holding Corp. (AKS)
AKTS,Akoustis Technologies Inc (AKTS)
AKTX,Akari Therapeutics Plc (AKTX)
AKU,Akumin Inc (AKU)
AKUS,Akouos Inc (AKUS)
AL,Air Lease Corp (AL)
ALAC,Alberton Acquisition Corp (ALAC)
ALACR,Alberton Acquisition Corp (ALACR)
ALACW,Alberton Acquisition Corp (ALACW)
ALB,Albemarle Corp. (ALB)
ALBO,Albireo Pharma Inc (ALBO)
ALC,Alcon Inc. (ALC)
ALCO,Alico Inc. (ALCO)
ALD,WisdomTree Trust (ALD)
ALD_1,Allied Capital Corp. (ALD)
ALDR,Alder BioPharmaceuticals Inc (ALDR)
ALDR_1,Alliance Drop Forging Co (ALDR)
ALDW,Alon USA Partners LP (ALDW)
ALDW_1,Alon USA Partners LP (ALDW)
ALDW_2,Alon USA Partners LP (ALDW)
ALDX,Aldeyra Therapeutics Inc (ALDX)
ALE,"Allete, Inc. (ALE)"
ALEC,Alector Inc (ALEC)
ALEX,Alexander & Baldwin Inc. (ALEX)
ALEX_1,Alexander & Baldwin Inc (ALEX)
ALFA,ETF Series Solutions Trust (ALFA)
ALFA_1,AlphaClone Alternative Alpha ETF (ALFA)
ALFA_2,ETF Series Solutions Trust (ALFA)
ALFI,ETF Series Solutions Trust (ALFI)
ALFI_1,Ally Financial Inc (ALFI)
ALG,Alamo Group Inc. (ALG)
ALGN,"Align Technology, Inc. (ALGN)"
ALGR,Allegro Merger Corp (ALGR)
ALGRR,Allegro Merger Corp (ALGRR)
ALGRU,Allegro Merger Corp (ALGRU)
ALGRW,Allegro Merger Corp (ALGRW)
ALGS,Aligos Therapeutics Inc (ALGS)
ALGT,Allegiant Travel (ALGT)
ALI_A,(ALI.A)
ALIM,Alimera Sciences Inc. (ALIM)
ALIN_P_A,Altera Infrastructure L.P (ALINpA)
ALIN_P_B,Altera Infrastructure L.P (ALINpB)
ALIN_P_E,Altera Infrastructure L.P (ALINpE)
ALJ,Alon Usa Energy Inc (ALJ)
ALJJ,Alj Regional Holdings Inc (ALJJ)
ALK,Alaska Air Group Inc. (ALK)
ALKS,Alkermes plc (ALKS)
ALL,Allstate Corp (The) (ALL)
ALLE,Allegion plc (ALLE)
ALLE_1,Allegiant Bancorp Inc. (ALLE)
ALLK,Allakos Inc (ALLK)
ALLO,Allogene Therapeutics Inc (ALLO)
ALL_P_A,Allstate Corporation (ALLpA)
ALL_P_A_CL,Allstate Corp (The) (ALLpA.CL)
ALL_P_B,Allstate Corp (The) (ALLpB)
ALL_P_C_CL,Allstate Corp (The) (ALLpC.CL)
ALL_P_D_1,Allstate Corp (The) (ALLpD)
ALL_P_D_CL,Allstate Corporation (ALLpD.CL)
ALL_P_E_1,Allstate Corp (The) (ALLpE)
ALL_P_E_CL,Allstate Corporation (ALLpE.CL)
ALL_P_F,Allstate Corp (The) (ALLpF)
ALL_P_F_CL,Allstate Corporation (ALLpF.CL)
ALL_P_G,Allstate Corp (The) (ALLpG)
ALL_P_H,Allstate Corp (The) (ALLpH)
ALL_P_I,Allstate Corp (The) (ALLpI)
ALL_P_RA,Allstate Corp (The) (ALLpRA)
ALL_P_RB,Allstate Corp (The) (ALLpRB)
ALL_P_RC,Allstate Corp (The) (ALLpRC)
ALL_P_RD,Allstate Corp (The) (ALLpRD)
ALL_P_RE,Allstate Corp (The) (ALLpRE)
ALL_P_RF,Allstate Corp (The) (ALLpRF)
ALLT,Allot Ltd (ALLT)
ALLY,Ally Financial Inc (ALLY)
ALLY_1,Bally Technologies Inc (ALLY)
ALLY_P_A,GMAC Capital Trust I (ALLYpA)
ALLY_P_RA,GMAC Capital Trust I (ALLYpRA)
ALN,American Lorain Corp (ALN)
ALN_1,Allen Telecom Inc. (ALN)
ALNA,Allena Pharmaceuticals Inc (ALNA)
ALNY,Alnylam Pharmaceuticals Inc (ALNY)
ALO,Alio Gold Inc (ALO)
ALO_1,Alpharma Inc. (ALO)
ALO_2,Bank Of America Corp. (ALO)
ALOG,Analogic Corp. (ALOG)
ALOT,AstroNova Inc (ALOT)
AL_P_A,Air Lease Corp (ALpA)
ALPN,Alpine Immune Sciences Inc (ALPN)
ALPN_1,Alpine Management System Inc (ALPN)
ALP_P_O_CL,Alabama Power Co (ALPpO.CL)
ALP_P_P_,Alabama Power Co (ALPpP_)
ALP_P_Q,Alabama Power Co (ALPpQ)
ALP_P_RQ,Alabama Power Co (ALPpRQ)
ALQA,Adynxx Inc (ALQA)
ALR_1,Alere Inc (ALR)
ALRM,Alarm.com Holdings Inc (ALRM)
ALRN,Aileron Therapeutics Inc (ALRN)
ALRN_1,American Learning Corp. (ALRN)
